"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020145","2020-05-24","h24v06","2020335211017",1,759
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020161","2020-06-09","h24v06","2020336161908",1,821
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020177","2020-06-25","h24v06","2020340105006",1,859
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020193","2020-07-11","h24v06","2020340133253",1,800
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020209","2020-07-27","h24v06","2020342021023",1,977
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020225","2020-08-12","h24v06","2020344203850",1,1208
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020241","2020-08-28","h24v06","2020346101601",1,1883
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020257","2020-09-13","h24v06","2020347062753",1,2121
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020273","2020-09-29","h24v06","2020349194915",1,1949
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020289","2020-10-15","h24v06","2020352194226",1,1782
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020305","2020-10-31","h24v06","2020353092200",1,1703
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020321","2020-11-16","h24v06","2020357091631",1,1486
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020337","2020-12-02","h24v06","2021011170019",1,1507
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2020353","2020-12-18","h24v06","2021012025254",1,1329
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2021001","2021-01-01","h24v06","2021043142901",1,1349
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2021017","2021-01-17","h24v06","2021040165347",1,1177
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2021033","2021-02-02","h24v06","2021049224723",1,1186
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2021049","2021-02-18","h24v06","2021068101317",1,1159
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2021065","2021-03-06","h24v06","2021082133716",1,1132
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2021081","2021-03-22","h24v06","2021098015955",1,1007
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2021097","2021-04-07","h24v06","2021115210622",1,1001
"6974941.24","3084041.13","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",27.736341214981,70.8702310806446,"point_1","MOD13Q1","2018-01-01","2024-12-31",TRUE,"A2021113","2021-04-23","h24v06","2021133131936",1,906
